COMMUNE,DCLT,TRANS,AGEREVQ,IPONDI,ILTUU
1004,1004,2,30,1.4087921409993496,3
1004,1004,2,50,1.4087921409993496,3
1004,1004,5,50,6.3332362662066135,3
1004,1004,1,55,6.3332362662066135,3
1004,1004,5,40,6.3332362662066135,3
1004,1004,5,55,6.3332362662066135,3
1004,1004,5,20,6.3332362662066135,3
1004,1004,5,60,6.3332362662066135,3
1004,1004,6,35,6.3332362662066135,3
1004,1004,2,50,6.3332362662066135,3
1004,1004,5,40,6.3332362662066135,3
1004,1004,6,40,6.3332362662066135,3
1004,1004,5,40,1.4087921409993496,3
1004,1004,5,30,1.4087921409993496,3
1004,1004,5,60,6.3332362662066135,3
1004,1004,1,60,6.3332362662066135,3
1004,1004,2,55,6.3332362662066135,3
1004,1004,1,70,6.3332362662066135,3
1004,1004,2,30,6.3332362662066135,3
1004,1004,6,20,6.3332362662066135,3
1004,1004,5,60,6.3332362662066135,3
1004,1004,5,25,6.3332362662066135,3
1004,1004,5,35,6.3332362662066135,3
1004,1004,5,25,6.3332362662066135,3
1004,1004,1,25,1.4087921409993496,3
1004,1004,1,30,1.4087921409993496,3
1004,1004,5,55,1.4087921409993496,3
1004,1004,5,55,5.406825879395404,3
1004,1004,5,30,1.2027174554165994,3
1004,1004,5,30,1.2027174554165994,3
1004,1004,5,25,1.2027174554165994,3
1004,1004,5,35,1.2027174554165994,3
1004,1004,5,35,1.2027174554165994,3
1004,1004,5,65,5.406825879395404,3
1004,1004,5,45,5.406825879395404,3
1004,1004,5,30,1.2944651215345426,3
1004,1004,5,35,1.2944651215345426,3
1004,1004,5,20,1.236423278869884,3
1004,1004,2,20,1.236423278869884,3
1004,1004,3,35,1.236423278869884,3
1004,1004,1,40,1.236423278869884,3
1004,1004,1,35,1.236423278869884,3
1004,1004,5,40,1.236423278869884,3
1004,1004,5,40,1.236423278869884,3
1004,1004,1,35,1.236423278869884,3
1004,1004,5,40,1.236423278869884,3
1004,1004,5,45,1.236423278869884,3
1004,1004,1,60,5.558350676605923,3
1004,1004,5,40,5.558350676605923,3
1004,1004,5,50,1.236423278869884,3
1004,1004,5,50,1.236423278869884,3
1004,1004,1,45,1.236423278869884,3
1004,1004,5,55,5.558350676605923,3
1004,1004,5,45,1.236423278869884,3
1004,1004,5,45,1.236423278869884,3
1004,1004,5,45,5.558350676605923,3
1004,1004,5,25,1.236423278869884,3
1004,1004,5,45,1.236423278869884,3
1004,1004,5,25,1.236423278869884,3
1004,1004,5,25,1.236423278869884,3
1004,1004,5,65,5.558350676605923,3
1004,1004,5,25,5.558350676605923,3
1004,1004,5,40,1.236423278869884,3
1004,1004,5,40,1.236423278869884,3
1004,1004,1,40,5.558350676605923,3
1004,1004,5,35,1.236423278869884,3
1004,1004,5,25,1.236423278869884,3
1004,1004,5,35,1.236423278869884,3
1004,1004,5,35,1.236423278869884,3
1004,1004,5,50,5.558350676605923,3
1004,1004,5,55,5.558350676605923,3
1004,1004,5,50,5.558350676605923,3
1004,1004,5,60,5.558350676605923,3
1004,1004,1,40,1.236423278869884,3
1004,1004,2,30,5.558350676605923,3
1004,1004,5,55,5.558350676605923,3
1004,1004,5,35,5.558350676605923,3
1004,1004,1,50,1.236423278869884,3
1004,1004,5,55,1.236423278869884,3
1004,1004,5,30,5.558350676605923,3
1004,1004,5,40,5.558350676605923,3
1004,1004,5,40,5.558350676605923,3
1004,1004,5,45,5.558350676605923,3
1004,1004,5,40,5.558350676605923,3
1004,1004,1,15,5.558350676605923,3
1004,1004,5,45,1.236423278869884,3
1004,1004,5,30,1.236423278869884,3
1004,1004,2,20,5.558350676605923,3
1004,1004,2,60,5.558350676605923,3
1004,1004,5,40,1.236423278869884,3
1004,1004,5,40,1.236423278869884,3
1004,1004,5,45,1.236423278869884,3
1004,1004,1,30,1.236423278869884,3
1004,1004,5,35,1.236423278869884,3
1004,1004,2,35,1.2944651215345426,3
1004,1004,2,60,1.2944651215345426,3
1004,1004,5,40,1.2944651215345426,3
1004,1004,2,60,1.2944651215345426,3
1004,1004,5,35,1.2944651215345426,3
1004,1004,5,35,1.2944651215345426,3
1004,1004,5,35,1.2944651215345426,3
1004,1004,5,60,1.2944651215345426,3
1004,1004,5,40,1.2944651215345426,3
1004,1004,5,30,1.2944651215345426,3
1004,1004,5,20,1.2944651215345426,3
1004,1004,5,20,1.2944651215345426,3
1004,1004,5,35,1.2944651215345426,3
1004,1004,5,35,1.2944651215345426,3
1004,1004,5,15,1.2944651215345426,3
1004,1004,2,35,1.2944651215345426,3
1004,1004,2,20,1.2944651215345426,3
1004,1004,5,50,1.2944651215345426,3
1004,1004,5,35,1.2944651215345426,3
1004,1004,5,25,1.2944651215345426,3
1004,1004,5,45,1.2944651215345426,3
1004,1004,2,20,1.2944651215345426,3
1004,1004,5,50,1.2944651215345426,3
1004,1004,2,35,1.2944651215345426,3
1004,1004,2,30,1.2944651215345426,3
1004,1004,5,60,1.2944651215345426,3
1004,1004,5,50,1.2944651215345426,3
1004,1004,5,40,1.2944651215345426,3
1004,1004,2,50,1.2944651215345426,3
1004,1004,2,45,1.2944651215345426,3
1004,1004,3,30,1.2944651215345426,3
1004,1004,2,15,1.2944651215345426,3
1004,1004,3,40,4.403740487592907,3
1004,1004,5,20,1.2027174554165994,3
1004,1004,2,60,4.206283477539327,3
1004,1004,5,15,4.206283477539327,3
1004,1004,2,60,4.206283477539327,3
1004,1004,5,35,4.206283477539327,3
1004,1004,1,25,1.236423278869884,3
1004,1004,5,45,4.206283477539327,3
1004,1004,2,35,1.2027174554165994,3
1004,1004,5,30,1.236423278869884,3
1004,1004,5,35,1.2027174554165994,3
1004,1004,1,50,1.236423278869884,3
1004,1004,5,20,1.4087921409993496,3
1004,1004,6,15,4.403740487592907,3
1004,1004,5,25,1.4087921409993496,3
1004,1004,5,50,4.403740487592907,3
1004,1004,5,25,4.792678370945184,3
1004,1004,5,40,4.792678370945184,3
1004,1004,5,55,4.792678370945184,3
1004,1004,5,50,4.403740487592907,3
1004,1004,2,25,4.403740487592907,3
1004,1004,2,30,4.403740487592907,3
1004,1004,2,45,4.403740487592907,3
1004,1004,3,20,4.403740487592907,3
1004,1004,5,55,4.403740487592907,3
1004,1004,5,20,1.236423278869884,3
1004,1004,5,30,1.2944651215345426,3
1004,1004,2,45,1.2944651215345426,3
1004,1004,5,25,4.403740487592907,3
1004,1004,1,35,1.236423278869884,3
1004,1004,5,25,1.2944651215345426,3
1004,1004,3,35,4.403740487592907,3
1004,1004,5,15,4.403740487592907,3
1004,1004,5,55,1.2944651215345426,3
1004,1004,5,30,4.403740487592907,3
1004,1004,2,15,1.2944651215345426,3
1004,1004,2,45,1.2944651215345426,3
1004,1004,6,35,4.091617043550802,3
1004,1004,2,15,1.2944651215345426,3
1004,1004,2,45,1.2944651215345426,3
1004,1004,2,50,4.403740487592907,3
1004,1004,5,20,1.2944651215345426,3
1004,1004,1,40,1.236423278869884,3
1004,1004,5,55,4.403740487592907,3
1004,1004,5,30,4.403740487592907,3
1004,1004,2,25,4.403740487592907,3
1004,1004,2,50,4.403740487592907,3
1004,1004,3,50,4.403740487592907,3
1004,1004,3,40,4.403740487592907,3
1004,1004,3,30,4.403740487592907,3
1004,1004,5,55,4.206283477539327,3
1004,1004,5,50,4.206283477539327,3
1004,1004,3,55,1.236423278869884,3
1004,1004,5,60,4.206283477539327,3
1004,1004,5,30,4.403740487592907,3
1004,1004,5,30,1.236423278869884,3
1004,1004,5,30,4.206283477539327,3
1004,1004,2,45,1.236423278869884,3
1004,1004,5,50,4.206283477539327,3
1004,1004,2,55,4.206283477539327,3
1004,1004,2,20,4.206283477539327,3
1004,1004,5,65,4.206283477539327,3
1004,1004,5,30,4.206283477539327,3
1004,1004,2,50,4.206283477539327,3
1004,1004,5,45,4.206283477539327,3
1004,1004,1,25,1.236423278869884,3
1004,1004,2,45,4.206283477539327,3
1004,1004,1,55,4.091617043550802,3
1004,1004,2,45,4.206283477539327,3
1004,1004,5,40,1.2027174554165994,3
1004,1004,5,35,4.206283477539327,3
1004,1004,1,30,5.0000157144242525,3
1004,1004,5,35,4.091617043550802,3
1004,1004,5,35,4.206283477539327,3
1004,1004,5,25,1.236423278869884,3
1004,1004,1,40,1.236423278869884,3
1004,1004,5,60,4.206283477539327,3
1004,1004,3,35,4.206283477539327,3
1004,1004,5,35,4.206283477539327,3
1004,1004,5,35,4.206283477539327,3
1004,1004,1,25,5.0000157144242525,3
1004,1004,2,50,4.206283477539327,3
1004,1004,5,60,1.236423278869884,3
1004,1004,1,30,4.206283477539327,3
1004,1004,2,35,4.206283477539327,3
1004,1004,5,20,4.206283477539327,3
1004,1004,2,20,5.0000157144242525,3
1004,1004,5,60,4.206283477539327,3
1004,1004,2,15,4.206283477539327,3
1004,1004,2,35,4.206283477539327,3
1004,1004,2,50,4.206283477539327,3
1004,1004,5,50,4.206283477539327,3
1004,1004,5,15,4.206283477539327,3
1004,1004,5,55,4.206283477539327,3
1004,1004,1,50,4.206283477539327,3
1004,1004,5,55,4.206283477539327,3
1004,1004,1,50,4.206283477539327,3
1004,1004,5,50,4.206283477539327,3
1004,1004,1,45,5.0000157144242525,3
1004,1004,5,60,4.206283477539327,3
1004,1004,5,45,4.206283477539327,3
1004,1004,5,50,4.206283477539327,3
1004,1004,5,30,1.236423278869884,3
1004,1004,5,35,1.2027174554165994,3
1004,1004,5,25,1.2027174554165994,3
1004,1004,5,30,1.236423278869884,3
1004,1004,5,30,1.2027174554165994,3
1004,1004,5,25,4.091617043550802,3
1004,1004,5,30,4.403740487592907,3
1004,1004,3,35,4.403740487592907,3
1004,1004,5,50,4.403740487592907,3
1004,1004,1,55,5.0000157144242525,3
1004,1004,2,55,1.2027174554165994,3
1004,1004,1,20,5.0000157144242525,3
1004,1004,1,55,5.0000157144242525,3
1004,1004,1,35,5.0000157144242525,3
1004,1004,5,25,1.2027174554165994,3
1004,1004,5,35,1.2027174554165994,3
1004,1004,5,30,1.2027174554165994,3
1004,1004,2,50,4.792678370945184,3
1004,1004,1,50,5.0000157144242525,3
1004,1004,5,30,1.236423278869884,3
1004,1004,1,15,4.792678370945184,3
1004,1004,5,45,4.206283477539327,3
1004,1004,5,30,4.792678370945184,3
1004,1004,5,45,1.236423278869884,3
1004,1004,2,15,4.792678370945184,3
1004,1004,2,30,4.206283477539327,3
1004,1004,5,25,4.206283477539327,3
1004,1004,5,45,1.236423278869884,3
1004,1004,5,55,4.091617043550802,3
1004,1004,1,55,4.792678370945184,3
1004,1004,2,50,4.792678370945184,3
1004,1004,4,20,4.792678370945184,3
1004,1004,5,35,1.2027174554165994,3
1004,1004,4,15,4.792678370945184,3
1004,1004,2,50,4.792678370945184,3
1004,1004,5,30,4.792678370945184,3
1004,1004,5,25,4.403740487592907,3
1004,1004,5,30,4.792678370945184,3
1004,1004,2,15,4.792678370945184,3
1004,1004,3,15,4.792678370945184,3
1004,1004,5,30,4.206283477539327,3
1004,1004,5,50,4.403740487592907,3
1004,1004,5,45,4.206283477539327,3
1004,1004,2,40,5.0000157144242525,3
1004,1004,6,20,1.4087921409993496,3
1004,1004,6,25,4.403740487592907,3
1004,1004,1,40,1.236423278869884,3
1004,1004,5,20,1.236423278869884,3
1004,1004,5,25,4.206283477539327,3
1004,1004,5,65,4.403740487592907,3
1004,1004,1,40,1.4087921409993496,3
1004,1004,5,50,4.206283477539327,3
1004,1004,2,15,4.206283477539327,3
1004,1004,5,35,1.236423278869884,3
1004,1004,5,50,1.236423278869884,3
1004,1004,2,25,4.403740487592907,3
1004,1004,2,55,4.792678370945184,3
1004,1004,2,45,4.792678370945184,3
1004,1004,5,50,4.792678370945184,3
1004,1004,5,40,1.2944651215345426,3
1004,1004,5,45,1.4087921409993496,3
1004,1004,5,60,4.403740487592907,3
1004,1004,2,40,5.0000157144242525,3
1004,1004,3,35,1.4087921409993496,3
1004,1004,5,45,4.403740487592907,3
1004,1004,3,30,1.4087921409993496,3
1004,1004,2,50,4.403740487592907,3
1004,1004,5,35,1.236423278869884,3
1004,1004,5,25,4.403740487592907,3
1004,1004,3,35,1.236423278869884,3
1004,1004,5,25,4.403740487592907,3
1004,1004,5,30,1.236423278869884,3
1004,1004,2,35,1.4087921409993496,3
1004,1004,3,40,1.4087921409993496,3
1004,1004,2,25,1.4087921409993496,3
1004,1004,2,30,1.4087921409993496,3
1004,1004,5,35,1.236423278869884,3
1004,1004,5,45,5.0000157144242525,3
1004,1004,5,15,5.0000157144242525,3
1004,1004,5,45,5.0000157144242525,3
1004,1004,5,30,5.0000157144242525,3
1004,1004,5,25,5.0000157144242525,3
1004,1004,5,40,5.0000157144242525,3
1004,1004,5,45,5.0000157144242525,3
1004,1004,2,25,5.0000157144242525,3
1004,1004,5,25,5.0000157144242525,3
1004,1004,5,30,5.0000157144242525,3
1004,1004,2,15,5.0000157144242525,3
1004,1004,5,25,5.0000157144242525,3
1004,1004,5,30,5.0000157144242525,3
1004,1004,5,20,5.0000157144242525,3
1004,1004,5,30,5.0000157144242525,3
1004,1004,1,25,5.0000157144242525,3
1004,1004,5,45,5.0000157144242525,3
1004,1004,2,20,5.0000157144242525,3
1004,1004,2,20,5.0000157144242525,3
1004,1004,2,25,5.0000157144242525,3
1004,1004,6,15,5.0000157144242525,3
1004,1004,5,25,5.0000157144242525,3
1004,1004,5,35,5.0000157144242525,3
1004,1004,5,50,5.0000157144242525,3
1004,1004,5,30,5.0000157144242525,3
1004,1004,5,50,5.0000157144242525,3
1004,1004,5,20,5.0000157144242525,3
1004,1004,5,25,5.0000157144242525,3
1004,1004,1,25,5.0000157144242525,3
1004,1004,1,25,5.0000157144242525,3
1004,1004,2,40,5.0000157144242525,3
1004,1004,1,30,5.0000157144242525,3
1004,1004,1,40,5.0000157144242525,3
1004,1004,5,35,5.0000157144242525,3
1004,1004,2,20,5.0000157144242525,3
1004,1004,3,25,5.0000157144242525,3
1004,1004,5,50,5.0000157144242525,3
1004,1004,5,55,5.0000157144242525,3
1004,1004,2,15,5.0000157144242525,3
1004,1004,3,20,3.494272910891071,3
1004,1004,5,40,3.7608287698000624,3
1004,1004,5,30,3.592198941066873,3
1004,1004,2,55,3.7608287698000624,3
1004,1004,5,25,3.592198941066873,3
1004,1004,5,30,4.092984759803895,3
1004,1004,5,60,3.592198941066873,3
1004,1004,5,50,1.236423278869884,3
1004,1004,5,25,3.592198941066873,3
1004,1004,5,40,3.592198941066873,3
1004,1004,5,50,3.592198941066873,3
1004,1004,5,75,3.7608287698000624,3
1004,1004,5,20,3.592198941066873,3
1004,1004,5,20,1.4087921409993496,3
1004,1004,5,40,3.592198941066873,3
1004,1004,5,50,3.7608287698000624,3
1004,1004,5,25,3.592198941066873,3
1004,1004,1,25,4.092984759803895,3
1004,1004,5,25,3.592198941066873,3
1004,1004,2,35,3.592198941066873,3
1004,1004,5,30,3.592198941066873,3
1004,1004,5,45,1.2027174554165994,3
1004,1004,5,45,1.2027174554165994,3
1004,1004,4,15,3.7608287698000624,3
1004,1004,5,35,1.2027174554165994,3
1004,1004,5,50,3.7608287698000624,3
1004,1004,5,45,3.592198941066873,3
1004,1004,2,60,3.494272910891071,3
1004,1004,2,50,3.7608287698000624,3
1004,1004,5,25,1.4087921409993496,3
1004,1004,2,60,1.4087921409993496,3
1004,1004,2,45,3.592198941066873,3
1004,1004,5,25,1.4087921409993496,3
1004,1004,5,55,3.592198941066873,3
1004,1004,5,50,3.592198941066873,3
1004,1004,1,40,4.092984759803895,3
1004,1004,1,45,3.7608287698000624,3
1004,1004,5,25,3.592198941066873,3
1004,1004,5,40,3.592198941066873,3
1004,1004,5,30,1.4087921409993496,3
1004,1004,5,40,3.7608287698000624,3
1004,1004,2,40,3.7608287698000624,3
1004,1004,5,35,3.592198941066873,3
1004,1004,5,35,3.7608287698000624,3
1004,1004,5,40,3.7608287698000624,3
1004,1004,5,40,3.7608287698000624,3
1004,1004,3,45,3.592198941066873,3
1004,1004,5,45,4.092984759803895,3
1004,1004,1,60,4.092984759803895,3
1004,1004,5,40,3.7608287698000624,3
1004,1004,5,50,3.7608287698000624,3
1004,1004,2,25,4.092984759803895,3
1004,1004,5,55,3.7608287698000624,3
1004,1004,5,65,4.092984759803895,3
1004,1004,5,55,4.092984759803895,3
1004,1004,5,30,3.7608287698000624,3
1004,1004,5,25,4.092984759803895,3
1004,1004,5,35,4.092984759803895,3
1004,1004,1,45,4.092984759803895,3
1004,1004,3,55,3.7608287698000624,3
1004,1004,5,15,3.7608287698000624,3
1004,1004,5,45,3.7608287698000624,3
1004,1004,5,45,1.2944651215345426,3
1004,1004,5,25,1.4087921409993496,3
1004,1004,1,30,3.592198941066873,3
1004,1004,5,25,4.092984759803895,3
1004,1004,5,50,3.592198941066873,3
1004,1004,5,35,4.092984759803895,3
1004,1004,5,30,3.7608287698000624,3
1004,1004,1,35,1.236423278869884,3
1004,1004,5,55,4.092984759803895,3
1004,1004,5,30,3.592198941066873,3
1004,1004,1,30,3.592198941066873,3
1004,1004,5,60,3.7608287698000624,3
1004,1004,5,65,4.092984759803895,3
1004,1004,5,55,4.092984759803895,3
1004,1004,5,65,3.7608287698000624,3
1004,1004,2,15,1.2944651215345426,3
1004,1004,1,60,4.092984759803895,3
1004,1004,5,35,4.092984759803895,3
1004,1004,5,55,1.236423278869884,3
1004,1004,2,15,1.2944651215345426,3
1004,1004,5,25,3.7608287698000624,3
1004,1004,5,50,1.236423278869884,3
1004,1004,2,35,1.2944651215345426,3
1004,1004,2,25,1.236423278869884,3
1004,1004,2,45,3.7608287698000624,3
1004,1004,2,45,3.7608287698000624,3
1004,1004,5,35,4.092984759803895,3
1004,1004,5,55,3.7608287698000624,3
1004,1004,6,45,1.236423278869884,3
1004,1004,5,55,3.592198941066873,3
1004,1004,2,60,3.7608287698000624,3
1004,1004,5,30,3.592198941066873,3
1004,1004,2,55,3.7608287698000624,3
1004,1004,5,40,4.092984759803895,3
1004,1004,5,40,1.236423278869884,3
1004,1004,5,45,4.092984759803895,3
1004,1004,5,50,3.592198941066873,3
1004,1004,5,35,1.236423278869884,3
1004,1004,5,45,3.7608287698000624,3
1004,1004,6,45,1.236423278869884,3
1004,1004,5,55,3.592198941066873,3
1004,1004,5,45,4.092984759803895,3
1004,1004,2,45,4.092984759803895,3
1004,1004,5,55,3.592198941066873,3
1004,1004,5,40,1.236423278869884,3
1004,1004,5,50,3.7608287698000624,3
1004,1004,2,25,3.7608287698000624,3
1004,1004,5,30,3.7608287698000624,3
1004,1004,5,45,1.236423278869884,3
1004,1004,6,60,4.092984759803895,3
1004,1004,5,25,4.092984759803895,3
1004,1004,5,35,3.494272910891071,3
1004,1004,5,45,1.236423278869884,3
1004,1004,5,45,1.236423278869884,3
1004,1004,5,20,4.092984759803895,3
1004,1004,2,20,4.092984759803895,3
1004,1004,5,60,4.092984759803895,3
1004,1004,5,25,4.092984759803895,3
1004,1004,5,25,4.092984759803895,3
1004,1004,5,50,3.592198941066873,3
1004,1004,5,65,4.092984759803895,3
1004,1004,2,60,4.092984759803895,3
1004,1004,5,20,3.7608287698000624,3
1004,1004,5,20,3.7608287698000624,3
1004,1004,1,60,4.092984759803895,3
1004,1004,1,60,4.092984759803895,3
1004,1004,5,20,3.592198941066873,3
1004,1004,5,35,1.236423278869884,3
1004,1004,5,25,3.7608287698000624,3
1004,1004,1,35,3.592198941066873,3
1004,1004,5,45,3.494272910891071,3
1004,1004,6,25,1.4087921409993496,3
1004,1004,1,50,3.592198941066873,3
1004,1004,5,50,3.7608287698000624,3
1004,1004,5,55,1.236423278869884,3
1004,1004,5,35,4.092984759803895,3
1004,1004,5,25,4.092984759803895,3
1004,1004,2,55,3.7608287698000624,3
1004,1004,2,20,4.092984759803895,3
1004,1004,5,50,3.494272910891071,3
1004,1004,6,35,3.592198941066873,3
1004,1004,2,20,4.092984759803895,3
1004,1004,5,35,3.592198941066873,3
1004,1004,5,25,3.592198941066873,3
1004,1004,5,25,4.092984759803895,3
1004,1004,5,40,1.236423278869884,3
1004,1004,5,25,3.494272910891071,3
1004,1004,5,25,1.4087921409993496,3
1004,1004,6,50,3.494272910891071,3
1004,1004,5,60,3.592198941066873,3
1004,1004,5,60,3.592198941066873,3
1004,1004,5,45,3.592198941066873,3
1004,1004,1,50,3.592198941066873,3
1004,1004,5,50,3.7608287698000624,3
1004,1004,5,40,3.592198941066873,3
1004,1004,1,40,3.7608287698000624,3
1004,1004,2,30,3.494272910891071,3
1004,1004,5,60,3.592198941066873,3
