,COMMUNE,DCLT,TRANS,AGEREVQ,IPONDI,ILTUU
0,L'Abergement-Clémenciat (01001),L'Abergement-Clémenciat (01001),"Voiture, camion, fourgonnette",55 à 59 ans,4.84,Réside dans une commune rurale et travaille dans la même commune
1,L'Abergement-Clémenciat (01001),L'Abergement-Clémenciat (01001),Pas de transport,25 à 29 ans,4.89,Réside dans une commune rurale et travaille dans la même commune
2,L'Abergement-Clémenciat (01001),L'Abergement-Clémenciat (01001),"Voiture, camion, fourgonnette",35 à 39 ans,4.84,Réside dans une commune rurale et travaille dans la même commune
3,L'Abergement-Clémenciat (01001),L'Abergement-Clémenciat (01001),"Voiture, camion, fourgonnette",45 à 49 ans,4.76,Réside dans une commune rurale et travaille dans la même commune
4,L'Abergement-Clémenciat (01001),L'Abergement-Clémenciat (01001),Pas de transport,20 à 24 ans,4.89,Réside dans une commune rurale et travaille dans la même commune
5,L'Abergement-Clémenciat (01001),L'Abergement-Clémenciat (01001),Pas de transport,40 à 44 ans,4.89,Réside dans une commune rurale et travaille dans la même commune
6,L'Abergement-Clémenciat (01001),L'Abergement-Clémenciat (01001),"Voiture, camion, fourgonnette",55 à 59 ans,4.8,Réside dans une commune rurale et travaille dans la même commune
7,L'Abergement-Clémenciat (01001),L'Abergement-Clémenciat (01001),Pas de transport,55 à 59 ans,4.8,Réside dans une commune rurale et travaille dans la même commune
8,L'Abergement-Clémenciat (01001),L'Abergement-Clémenciat (01001),"Voiture, camion, fourgonnette",30 à 34 ans,4.93,Réside dans une commune rurale et travaille dans la même commune
11,L'Abergement-Clémenciat (01001),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",25 à 29 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
12,L'Abergement-Clémenciat (01001),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",55 à 59 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
13,L'Abergement-Clémenciat (01001),Bourg-en-Bresse (01053),"Voiture, camion, fourgonnette",50 à 54 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
14,L'Abergement-Clémenciat (01001),Bourg-en-Bresse (01053),"Voiture, camion, fourgonnette",55 à 59 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
15,L'Abergement-Clémenciat (01001),Bourg-en-Bresse (01053),"Voiture, camion, fourgonnette",35 à 39 ans,4.97,Réside dans une commune rurale et travaille hors de la commune
16,L'Abergement-Clémenciat (01001),Bourg-en-Bresse (01053),"Voiture, camion, fourgonnette",50 à 54 ans,4.76,Réside dans une commune rurale et travaille hors de la commune
17,L'Abergement-Clémenciat (01001),Bourg-en-Bresse (01053),"Voiture, camion, fourgonnette",35 à 39 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
18,L'Abergement-Clémenciat (01001),Bourg-en-Bresse (01053),"Voiture, camion, fourgonnette",20 à 24 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
19,L'Abergement-Clémenciat (01001),Bourg-en-Bresse (01053),"Voiture, camion, fourgonnette",50 à 54 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
20,L'Abergement-Clémenciat (01001),Bourg-en-Bresse (01053),"Voiture, camion, fourgonnette",35 à 39 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
23,L'Abergement-Clémenciat (01001),Charnoz-sur-Ain (01088),"Voiture, camion, fourgonnette",50 à 54 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
24,L'Abergement-Clémenciat (01001),Châtillon-sur-Chalaronne (01093),"Voiture, camion, fourgonnette",50 à 54 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
25,L'Abergement-Clémenciat (01001),Châtillon-sur-Chalaronne (01093),"Voiture, camion, fourgonnette",55 à 59 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
26,L'Abergement-Clémenciat (01001),Châtillon-sur-Chalaronne (01093),"Voiture, camion, fourgonnette",40 à 44 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
27,L'Abergement-Clémenciat (01001),Châtillon-sur-Chalaronne (01093),"Voiture, camion, fourgonnette",50 à 54 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
28,L'Abergement-Clémenciat (01001),Châtillon-sur-Chalaronne (01093),"Voiture, camion, fourgonnette",30 à 34 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
30,L'Abergement-Clémenciat (01001),Châtillon-sur-Chalaronne (01093),"Voiture, camion, fourgonnette",15 à 19 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
31,L'Abergement-Clémenciat (01001),Châtillon-sur-Chalaronne (01093),"Voiture, camion, fourgonnette",40 à 44 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
33,L'Abergement-Clémenciat (01001),Châtillon-sur-Chalaronne (01093),"Voiture, camion, fourgonnette",55 à 59 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
34,L'Abergement-Clémenciat (01001),Châtillon-sur-Chalaronne (01093),"Voiture, camion, fourgonnette",45 à 49 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
37,L'Abergement-Clémenciat (01001),Châtillon-sur-Chalaronne (01093),"Voiture, camion, fourgonnette",35 à 39 ans,4.97,Réside dans une commune rurale et travaille hors de la commune
38,L'Abergement-Clémenciat (01001),Châtillon-sur-Chalaronne (01093),Deux-roues motorisé,15 à 19 ans,4.97,Réside dans une commune rurale et travaille hors de la commune
41,L'Abergement-Clémenciat (01001),Châtillon-sur-Chalaronne (01093),"Voiture, camion, fourgonnette",20 à 24 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
42,L'Abergement-Clémenciat (01001),Crottet (01134),"Voiture, camion, fourgonnette",35 à 39 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
43,L'Abergement-Clémenciat (01001),Frans (01166),"Voiture, camion, fourgonnette",40 à 44 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
44,L'Abergement-Clémenciat (01001),Marlieux (01235),"Voiture, camion, fourgonnette",20 à 24 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
45,L'Abergement-Clémenciat (01001),Meximieux (01244),"Voiture, camion, fourgonnette",50 à 54 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
46,L'Abergement-Clémenciat (01001),Monthieux (01261),"Voiture, camion, fourgonnette",30 à 34 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
47,L'Abergement-Clémenciat (01001),Montmerle-sur-Saône (01263),"Voiture, camion, fourgonnette",45 à 49 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
48,L'Abergement-Clémenciat (01001),Neuville-les-Dames (01272),"Voiture, camion, fourgonnette",50 à 54 ans,4.76,Réside dans une commune rurale et travaille hors de la commune
49,L'Abergement-Clémenciat (01001),Peyzieux-sur-Saône (01295),Deux-roues motorisé,15 à 19 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
50,L'Abergement-Clémenciat (01001),Pont-de-Veyle (01306),"Voiture, camion, fourgonnette",45 à 49 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
51,L'Abergement-Clémenciat (01001),Pont-de-Veyle (01306),"Voiture, camion, fourgonnette",50 à 54 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
52,L'Abergement-Clémenciat (01001),Reyrieux (01322),"Voiture, camion, fourgonnette",60 à 64 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
53,L'Abergement-Clémenciat (01001),Reyrieux (01322),"Voiture, camion, fourgonnette",30 à 34 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
54,L'Abergement-Clémenciat (01001),Reyrieux (01322),"Voiture, camion, fourgonnette",55 à 59 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
55,L'Abergement-Clémenciat (01001),Saint-Cyr-sur-Menthon (01343),"Voiture, camion, fourgonnette",30 à 34 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
56,L'Abergement-Clémenciat (01001),Saint-Didier-sur-Chalaronne (01348),"Voiture, camion, fourgonnette",30 à 34 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
57,L'Abergement-Clémenciat (01001),Saint-Didier-sur-Chalaronne (01348),"Voiture, camion, fourgonnette",20 à 24 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
58,L'Abergement-Clémenciat (01001),Saint-Étienne-sur-Chalaronne (01351),"Voiture, camion, fourgonnette",35 à 39 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
59,L'Abergement-Clémenciat (01001),Saint-Trivier-sur-Moignans (01389),"Voiture, camion, fourgonnette",30 à 34 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
60,L'Abergement-Clémenciat (01001),Saint-Trivier-sur-Moignans (01389),"Voiture, camion, fourgonnette",35 à 39 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
61,L'Abergement-Clémenciat (01001),Sulignat (01412),"Voiture, camion, fourgonnette",55 à 59 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
62,L'Abergement-Clémenciat (01001),Thoissey (01420),"Voiture, camion, fourgonnette",50 à 54 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
63,L'Abergement-Clémenciat (01001),Trévoux (01427),"Voiture, camion, fourgonnette",45 à 49 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
64,L'Abergement-Clémenciat (01001),Trévoux (01427),"Voiture, camion, fourgonnette",35 à 39 ans,4.93,Réside dans une commune rurale et travaille hors de la commune
65,L'Abergement-Clémenciat (01001),Villars-les-Dombes (01443),"Voiture, camion, fourgonnette",35 à 39 ans,4.93,Réside dans une commune rurale et travaille hors de la commune
66,L'Abergement-Clémenciat (01001),Villars-les-Dombes (01443),"Voiture, camion, fourgonnette",35 à 39 ans,4.76,Réside dans une commune rurale et travaille hors de la commune
67,L'Abergement-Clémenciat (01001),Viriat (01451),"Voiture, camion, fourgonnette",45 à 49 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
68,L'Abergement-Clémenciat (01001),Vonnas (01457),"Voiture, camion, fourgonnette",50 à 54 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
69,L'Abergement-Clémenciat (01001),Ambérieux (69005),"Voiture, camion, fourgonnette",25 à 29 ans,4.76,Réside dans une commune rurale et travaille hors de la commune
70,L'Abergement-Clémenciat (01001),Belleville-en-Beaujolais (69019),"Voiture, camion, fourgonnette",40 à 44 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
72,L'Abergement-Clémenciat (01001),Bron (69029),"Voiture, camion, fourgonnette",45 à 49 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
73,L'Abergement-Clémenciat (01001),Bron (69029),"Voiture, camion, fourgonnette",50 à 54 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
74,L'Abergement-Clémenciat (01001),Collonges-au-Mont-d'Or (69063),"Voiture, camion, fourgonnette",50 à 54 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
75,L'Abergement-Clémenciat (01001),Limas (69115),"Voiture, camion, fourgonnette",35 à 39 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
76,L'Abergement-Clémenciat (01001),Neuville-sur-Saône (69143),"Voiture, camion, fourgonnette",55 à 59 ans,4.76,Réside dans une commune rurale et travaille hors de la commune
77,L'Abergement-Clémenciat (01001),Vaulx-en-Velin (69256),"Voiture, camion, fourgonnette",35 à 39 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
78,L'Abergement-Clémenciat (01001),Villefranche-sur-Saône (69264),"Voiture, camion, fourgonnette",45 à 49 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
79,L'Abergement-Clémenciat (01001),Villefranche-sur-Saône (69264),"Voiture, camion, fourgonnette",25 à 29 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
81,L'Abergement-Clémenciat (01001),Chassieu (69271),"Voiture, camion, fourgonnette",55 à 59 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
82,L'Abergement-Clémenciat (01001),Décines-Charpieu (69275),"Voiture, camion, fourgonnette",35 à 39 ans,4.93,Réside dans une commune rurale et travaille hors de la commune
83,L'Abergement-Clémenciat (01001),Décines-Charpieu (69275),"Voiture, camion, fourgonnette",30 à 34 ans,4.93,Réside dans une commune rurale et travaille hors de la commune
84,L'Abergement-Clémenciat (01001),Genay (69278),"Voiture, camion, fourgonnette",50 à 54 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
85,L'Abergement-Clémenciat (01001),Genay (69278),"Voiture, camion, fourgonnette",45 à 49 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
86,L'Abergement-Clémenciat (01001),Rillieux-la-Pape (69286),"Voiture, camion, fourgonnette",45 à 49 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
87,L'Abergement-Clémenciat (01001),Lyon 2e Arrondissement (69382),Transports en commun,45 à 49 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
88,L'Abergement-Clémenciat (01001),Mâcon (71270),"Voiture, camion, fourgonnette",25 à 29 ans,4.84,Réside dans une commune rurale et travaille hors de la commune
89,L'Abergement-Clémenciat (01001),Courchevel (73227),"Voiture, camion, fourgonnette",60 à 64 ans,4.8,Réside dans une commune rurale et travaille hors de la commune
90,L'Abergement-de-Varey (01002),L'Abergement-de-Varey (01002),"Voiture, camion, fourgonnette",30 à 34 ans,5.04,Réside dans une commune rurale et travaille dans la même commune
91,L'Abergement-de-Varey (01002),L'Abergement-de-Varey (01002),Pas de transport,55 à 59 ans,4.74,Réside dans une commune rurale et travaille dans la même commune
92,L'Abergement-de-Varey (01002),L'Abergement-de-Varey (01002),"Voiture, camion, fourgonnette",35 à 39 ans,4.89,Réside dans une commune rurale et travaille dans la même commune
94,L'Abergement-de-Varey (01002),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",40 à 44 ans,5.04,Réside dans une commune rurale et travaille hors de la commune
95,L'Abergement-de-Varey (01002),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",60 à 64 ans,4.6,Réside dans une commune rurale et travaille hors de la commune
96,L'Abergement-de-Varey (01002),Ambronay (01007),"Voiture, camion, fourgonnette",35 à 39 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
97,L'Abergement-de-Varey (01002),Ambronay (01007),"Voiture, camion, fourgonnette",40 à 44 ans,5.2,Réside dans une commune rurale et travaille hors de la commune
98,L'Abergement-de-Varey (01002),Valserhône (01033),"Voiture, camion, fourgonnette",45 à 49 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
99,L'Abergement-de-Varey (01002),Bourg-en-Bresse (01053),"Voiture, camion, fourgonnette",40 à 44 ans,5.04,Réside dans une commune rurale et travaille hors de la commune
100,L'Abergement-de-Varey (01002),Chalamont (01074),"Voiture, camion, fourgonnette",45 à 49 ans,4.74,Réside dans une commune rurale et travaille hors de la commune
101,L'Abergement-de-Varey (01002),Dagneux (01142),"Voiture, camion, fourgonnette",50 à 54 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
102,L'Abergement-de-Varey (01002),Gex (01173),"Voiture, camion, fourgonnette",55 à 59 ans,4.6,Réside dans une commune rurale et travaille hors de la commune
103,L'Abergement-de-Varey (01002),Neuville-sur-Ain (01273),"Voiture, camion, fourgonnette",35 à 39 ans,5.04,Réside dans une commune rurale et travaille hors de la commune
105,L'Abergement-de-Varey (01002),Saint-Vulbas (01390),"Voiture, camion, fourgonnette",55 à 59 ans,4.74,Réside dans une commune rurale et travaille hors de la commune
106,L'Abergement-de-Varey (01002),Saint-Vulbas (01390),"Voiture, camion, fourgonnette",40 à 44 ans,5.04,Réside dans une commune rurale et travaille hors de la commune
107,L'Abergement-de-Varey (01002),Tenay (01416),"Voiture, camion, fourgonnette",35 à 39 ans,5.2,Réside dans une commune rurale et travaille hors de la commune
108,L'Abergement-de-Varey (01002),Vaux-en-Bugey (01431),"Voiture, camion, fourgonnette",50 à 54 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
109,L'Abergement-de-Varey (01002),Genas (69277),"Voiture, camion, fourgonnette",35 à 39 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
110,L'Abergement-de-Varey (01002),Pusignan (69285),"Voiture, camion, fourgonnette",35 à 39 ans,4.89,Réside dans une commune rurale et travaille hors de la commune
111,L'Abergement-de-Varey (01002),Chambéry (73065),"Voiture, camion, fourgonnette",50 à 54 ans,4.74,Réside dans une commune rurale et travaille hors de la commune
112,L'Abergement-de-Varey (01002),Gennevilliers (92036),Transports en commun,60 à 64 ans,4.6,Réside dans une commune rurale et travaille hors de la commune
113,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",45 à 49 ans,1.29,Réside dans une commune urbaine et travaille dans la même commune
114,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Marche à pied (ou rollers, patinette)",20 à 24 ans,1.29,Réside dans une commune urbaine et travaille dans la même commune
115,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),Vélo (y compris à assistance électrique),45 à 49 ans,1.29,Réside dans une commune urbaine et travaille dans la même commune
116,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",15 à 19 ans,1.29,Réside dans une commune urbaine et travaille dans la même commune
117,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",35 à 39 ans,1.29,Réside dans une commune urbaine et travaille dans la même commune
118,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Marche à pied (ou rollers, patinette)",25 à 29 ans,5.82,Réside dans une commune urbaine et travaille dans la même commune
119,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",60 à 64 ans,5.82,Réside dans une commune urbaine et travaille dans la même commune
120,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),Pas de transport,50 à 54 ans,5.82,Réside dans une commune urbaine et travaille dans la même commune
122,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",40 à 44 ans,5.82,Réside dans une commune urbaine et travaille dans la même commune
123,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),Pas de transport,40 à 44 ans,5.82,Réside dans une commune urbaine et travaille dans la même commune
124,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),Vélo (y compris à assistance électrique),35 à 39 ans,5.82,Réside dans une commune urbaine et travaille dans la même commune
125,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",50 à 54 ans,5.82,Réside dans une commune urbaine et travaille dans la même commune
128,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",20 à 24 ans,1.29,Réside dans une commune urbaine et travaille dans la même commune
129,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Marche à pied (ou rollers, patinette)",35 à 39 ans,1.29,Réside dans une commune urbaine et travaille dans la même commune
130,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",30 à 34 ans,1.29,Réside dans une commune urbaine et travaille dans la même commune
131,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",25 à 29 ans,1.29,Réside dans une commune urbaine et travaille dans la même commune
132,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",55 à 59 ans,1.29,Réside dans une commune urbaine et travaille dans la même commune
134,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),Pas de transport,35 à 39 ans,1.29,Réside dans une commune urbaine et travaille dans la même commune
136,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Marche à pied (ou rollers, patinette)",50 à 54 ans,1.29,Réside dans une commune urbaine et travaille dans la même commune
139,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",30 à 34 ans,5.82,Réside dans une commune urbaine et travaille dans la même commune
140,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",55 à 59 ans,5.82,Réside dans une commune urbaine et travaille dans la même commune
141,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",45 à 49 ans,5.82,Réside dans une commune urbaine et travaille dans la même commune
142,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Marche à pied (ou rollers, patinette)",50 à 54 ans,5.82,Réside dans une commune urbaine et travaille dans la même commune
143,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Marche à pied (ou rollers, patinette)",35 à 39 ans,5.82,Réside dans une commune urbaine et travaille dans la même commune
144,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),Vélo (y compris à assistance électrique),60 à 64 ans,5.82,Réside dans une commune urbaine et travaille dans la même commune
145,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Marche à pied (ou rollers, patinette)",20 à 24 ans,5.82,Réside dans une commune urbaine et travaille dans la même commune
150,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),Vélo (y compris à assistance électrique),30 à 34 ans,5.82,Réside dans une commune urbaine et travaille dans la même commune
154,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Marche à pied (ou rollers, patinette)",30 à 34 ans,5.82,Réside dans une commune urbaine et travaille dans la même commune
160,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",35 à 39 ans,5.82,Réside dans une commune urbaine et travaille dans la même commune
161,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),Vélo (y compris à assistance électrique),20 à 24 ans,1.29,Réside dans une commune urbaine et travaille dans la même commune
170,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",50 à 54 ans,1.29,Réside dans une commune urbaine et travaille dans la même commune
172,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),Transports en commun,45 à 49 ans,1.29,Réside dans une commune urbaine et travaille dans la même commune
173,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",50 à 54 ans,6.33,Réside dans une commune urbaine et travaille dans la même commune
174,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Marche à pied (ou rollers, patinette)",20 à 24 ans,1.41,Réside dans une commune urbaine et travaille dans la même commune
175,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),Vélo (y compris à assistance électrique),30 à 34 ans,1.41,Réside dans une commune urbaine et travaille dans la même commune
176,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",30 à 34 ans,1.41,Réside dans une commune urbaine et travaille dans la même commune
178,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Marche à pied (ou rollers, patinette)",30 à 34 ans,1.41,Réside dans une commune urbaine et travaille dans la même commune
179,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Marche à pied (ou rollers, patinette)",50 à 54 ans,1.41,Réside dans une commune urbaine et travaille dans la même commune
181,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),Pas de transport,55 à 59 ans,6.33,Réside dans une commune urbaine et travaille dans la même commune
182,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",40 à 44 ans,6.33,Réside dans une commune urbaine et travaille dans la même commune
183,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",55 à 59 ans,6.33,Réside dans une commune urbaine et travaille dans la même commune
184,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",20 à 24 ans,6.33,Réside dans une commune urbaine et travaille dans la même commune
185,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",60 à 64 ans,6.33,Réside dans une commune urbaine et travaille dans la même commune
186,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),Transports en commun,35 à 39 ans,6.33,Réside dans une commune urbaine et travaille dans la même commune
187,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Marche à pied (ou rollers, patinette)",50 à 54 ans,6.33,Réside dans une commune urbaine et travaille dans la même commune
189,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),Transports en commun,40 à 44 ans,6.33,Réside dans une commune urbaine et travaille dans la même commune
190,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",40 à 44 ans,1.41,Réside dans une commune urbaine et travaille dans la même commune
193,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),Pas de transport,60 à 64 ans,6.33,Réside dans une commune urbaine et travaille dans la même commune
194,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Marche à pied (ou rollers, patinette)",55 à 59 ans,6.33,Réside dans une commune urbaine et travaille dans la même commune
195,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),Pas de transport,70 à 74 ans,6.33,Réside dans une commune urbaine et travaille dans la même commune
196,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Marche à pied (ou rollers, patinette)",30 à 34 ans,6.33,Réside dans une commune urbaine et travaille dans la même commune
197,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),Transports en commun,20 à 24 ans,6.33,Réside dans une commune urbaine et travaille dans la même commune
199,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",25 à 29 ans,6.33,Réside dans une commune urbaine et travaille dans la même commune
200,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",35 à 39 ans,6.33,Réside dans une commune urbaine et travaille dans la même commune
202,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),Pas de transport,25 à 29 ans,1.41,Réside dans une commune urbaine et travaille dans la même commune
203,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),Pas de transport,30 à 34 ans,1.41,Réside dans une commune urbaine et travaille dans la même commune
204,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",55 à 59 ans,1.41,Réside dans une commune urbaine et travaille dans la même commune
205,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",55 à 59 ans,5.41,Réside dans une commune urbaine et travaille dans la même commune
206,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",30 à 34 ans,1.2,Réside dans une commune urbaine et travaille dans la même commune
208,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",25 à 29 ans,1.2,Réside dans une commune urbaine et travaille dans la même commune
209,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",35 à 39 ans,1.2,Réside dans une commune urbaine et travaille dans la même commune
211,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",65 à 69 ans,5.41,Réside dans une commune urbaine et travaille dans la même commune
212,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",45 à 49 ans,5.41,Réside dans une commune urbaine et travaille dans la même commune
215,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Voiture, camion, fourgonnette",20 à 24 ans,1.24,Réside dans une commune urbaine et travaille dans la même commune
216,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),"Marche à pied (ou rollers, patinette)",20 à 24 ans,1.24,Réside dans une commune urbaine et travaille dans la même commune
217,Ambérieu-en-Bugey (01004),Ambérieu-en-Bugey (01004),Vélo (y compris à assistance électrique),35 à 39 ans,1.24,Réside dans une commune urbaine et travaille dans la même commune
